localita;data;t_media;t_min;t_max;punto_rugiada;umidita;visibilita_km;vento_media;vento_max;raffica;pressione_slm;pressione_media;pioggia;fenomeni
Milano;1/2/20;8;7;10;7;92;7;6;11;0;1019;0;0;pioggia nebbia
Milano;2/2/20;5;2;7;4;97;2;6;11;0;1018;0;0;nebbia
Milano;3/2/20;6;3;10;6;96;2;8;15;0;1015;0;0;nebbia
Milano;4/2/20;9;6;16;6;66;10;19;48;0;1010;0;0;nebbia
Milano;5/2/20;9;3;14;0;30;20;19;48;0;1021;0;0;
Milano;6/2/20;5;-1;12;0;48;21;5;13;0;1028;0;0;
Milano;7/2/20;5;-2;13;2;63;20;5;15;0;1026;0;0;
Milano;8/2/20;6;1;11;1;67;19;4;8;0;1028;0;0;
Milano;9/2/20;4;-1;9;4;85;9;4;9;0;1029;0;0;pioggia nebbia
Milano;10/2/20;7;5;11;6;92;4;5;9;0;1016;0;0;pioggia nebbia
Milano;11/2/20;10;1;19;3;57;15;9;22;0;1008;0;0;nebbia
Milano;12/2/20;10;2;16;0;35;20;8;18;0;1017;0;0;
Milano;13/2/20;7;0;11;2;61;21;7;17;0;1019;0;0;pioggia
Milano;14/2/20;8;3;15;3;68;19;8;21;0;1018;0;0;pioggia
Milano;15/2/20;7;1;13;4;81;11;5;11;0;1027;0;0;
Milano;16/2/20;8;0;14;4;80;8;4;9;0;1028;0;0;nebbia
Milano;17/2/20;10;9;11;9;95;3;3;5;0;1025;0;0;pioggia nebbia
Milano;18/2/20;10;6;15;7;85;5;6;11;0;1024;0;0;pioggia
Milano;19/2/20;8;3;14;5;77;10;7;13;0;1021;0;0;nebbia
Milano;20/2/20;7;1;14;1;50;18;6;11;0;1024;0;0;
Milano;21/2/20;8;0;16;2;65;20;6;15;0;1023;0;0;
Milano;22/2/20;8;1;14;2;67;19;4;11;0;1031;0;0;
Milano;23/2/20;10;4;15;6;73;19;10;21;0;1025;0;0;
Milano;24/2/20;13;9;19;8;70;15;13;21;0;1018;0;0;
Milano;25/2/20;11;9;14;8;79;8;3;8;0;1010;0;0;
Milano;26/2/20;10;7;14;7;57;10;17;31;0;1001;0;0;nebbia
Milano;27/2/20;8;1;12;0;38;20;8;15;0;1008;0;0;
Milano;28/2/20;10;5;16;0;29;19;12;22;0;1015;0;0;
